campaign_name,category,conversions,total_investment,conversion_rate_pct,cac_brl
Campanha 18,Cassino,87583,2505498.44,3.25,28.61
Campanha 3,Esportes,117786,2977336.4,6.15,25.28
Campanha 9,Cassino,111174,2809936.84,8.36,25.28
Campanha 29,Streaming,113093,2628133.619999999,4.73,23.24
Campanha 30,Cassino,110586,2539801.9299999997,5.83,22.97
Campanha 10,Streaming,114403,2626833.7200000007,7.07,22.96
Campanha_8,Streaming,109595,2506909.789999999,5.53,22.87
Campanha 14,Esportes,116533,2647974.5699999994,6.47,22.72
Campanha 1,Esportes,136121,3081774.1999999997,5.99,22.64
Campanha 20,Cassino,114287,2572328.7700000005,8.91,22.51
Campanha 17,Apostas,112799,2537085.05,6.77,22.49
Campanha 15,Apostas,131106,2920450.26,8.3,22.28
Campanha 25,Streaming,123726,2742183.1400000006,5.97,22.16
Campanha 6,Streaming,122831,2693978.96,4.26,21.93
Campanha 11,Apostas,132374,2875021.1999999993,7.52,21.72
Campanha 21,Apostas,129249,2755706.04,8.73,21.32
Campanha 26,Cassino,125570,2675949.15,6.79,21.31
Campanha 16,Streaming,118385,2516344.29,6.09,21.26
Campanha 7,Apostas,123851,2622530.1899999995,6.64,21.17
Campanha 23,Streaming,127325,2656788.64,5.68,20.87
Campanha 2,Cassino,126892,2644937.12,7.45,20.84
Campanha 27,Apostas,132348,2734579.2800000003,6.81,20.66
Campanha 12,Esportes,128308,2626684.15,5.98,20.47
Campanha 28,Apostas,131748,2689926.780000001,5.41,20.42
Campanha 5,Esportes,149137,3020713.330000001,6.86,20.25
Campanha 24,Apostas,142809,2863972.2899999996,7.33,20.05
campanha 13,Apostas,138134,2704913.1999999993,4.74,19.58
Campanha 19,Esportes,152274,2882052.7299999995,6.72,18.93
Campanha 22,Esportes,148421,2773981.6899999995,7.53,18.69
Campanha 4,Esportes,0,0.0,0.0,
